No    Name          T90cat                  T90e
129  181013A  104.208000063896         53.6958056690979 
130  181010A  15.5639998912811         2.19279273395347 
131  181003A  25.4919999837875         4.76236281484229 
132  181002A  63.4079999923706         12.3483206791846 
133  180930A  6.80400002002716         0.955790754386789
134  180925A  82.6319999694824         23.6413051877051 
135  180924A  94.8159999847412         11.8424247997239 
136  180905A  165.34399998188         28.8994952744125   
137  180904A  4.63199985027313         1.03159098510797 
138  180828A  13                       9   
139  180823A  80.2960000038147         6.89302403001873 
140  180821A  64                      22.6274169979695     
141  180818B  137.459999918938         9.7000667230781   
142  180818A  13.7120000123978         4.05053675162408 
143  180812A  16.527999997139         0.970154591757242 
144  180809B  233.243999958038         1.12445540263143 
145  180805B  122.239999890327         18.0105578431205 
146  180805A  1.67599987983704         0.408803108661506
147  180728A  8.6839998960495         0.297321378474679 
