Name	TrTime
140622A	09:36:04
140619A	11:38:35
140614C	20:06:56
140614B	06:38:11
140614A	01:04:59
140611A	03:51:04
140610A	16:31:29
140607A	17:13:31
140606A	10:58:13
140529A	09:28:06
140521A	17:34:18
140518A	09:17:46
140516A	20:30:54
140515A	09:12:36
140512A	19:31:49
140509A	02:22:13
140506A	21:07:36
140502A	08:30:20
140430A	20:33:36
140428A	22:40:50
140423A	08:31:53
140419A	04:06:51
140414A	06:06:29
140413A	00:09:40
140412A	22:20:49
140408A	13:15:54
140402A	00:10:06
140331A	05:49:48
140323A	10:23:11
140320A	02:12:45
140318A	00:09:07
140311B	21:14:29
140311A	21:05:16
140305A	15:00:20
140304A	13:22:31
140302A	08:12:58
140301A	15:24:49
140215A	04:07:10
140213A	19:21:37
140211A	12:23:03
140209A	07:30:57
140206A	07:17:20
140129B	12:51:09
140129A	03:23:59
140118A	01:32:02
140114A	11:57:40
140108A	17:18:42
140103A	00:30:43
140102A	21:17:37
131229A	06:39:24
131227A	04:44:51
131226A	05:47:39
131224B	03:25:08
131205A	09:18:38
131202A	15:12:09
131128A	15:06:24
131127A	10:11:35
131120A	14:37:56
131117A	00:34:04
131110A	11:53:11
131105A	02:04:44
131103A	22:07:25
131031A	11:33:31
131030A	20:56:18
131024B	21:35:31
131024A	12:26:20
131018A	12:47:48
131004A	21:41:03
131002B	10:54:28
131002A	06:54:21
131001A	05:37:24
130929A	09:36:33
130925A	04:11:24
130919A	11:07:24
130913A	00:28:21
130912A	08:34:57
130907A	21:41:13
130831B	13:48:19
130831A	13:04:16
130829A	05:43:33
130822A	15:54:17
130816B	04:53:38
130816A	01:46:55
130812A	22:22:52
130807A	10:25:43
130806A	02:51:33
130803A	10:02:52
130727A	16:45:19.52
130725B	17:39:28
130725A	11:37:11
130722A	08:19:19
130719A	05:47:49
130716A	10:36:53
130708A	11:43:03.7
130701A	04:17:43
130627B	12:00:50
130627A	08:55:03
130626A	10:51:03
130625A	07:00:39
130623A	11:42:44.7
130615A	09:44:45
130612A	03:22:22
130610A	03:12:13
130609B	21:38:40
130609A	03:05:08
130608A	23:14:21
130606A	21:04:39
130605A	23:41:42
130604A	06:54:26
130603B	15:49:14
130603A	05:59:32
130529A	11:15:25
130528A	16:41:23
130527A	14:21:30
130521A	22:49:16
130518B	10:50:38
130518A	13:55:07.4
130515A	01:21:17
130514A	07:13:41
130511A	11:30:47
130508A	17:08:53
130505A	08:22:28
130504A	02:05:34
130502A	17:50:30
130427B	13:20:41
130427A	07:47:57
130420B	12:56:31
130420A	07:28:29
130419A	13:30:29
130418A	19:00:53
130408A	21:51:38
130327A	01:47:34
130315A	12:45:32
130313A	16:08:11
130306A	23:51:01
130305A	11:39:16
130216B	18:58:12
130216A	22:15:24
130215A	01:31:30
130211A	03:36:32
130206A	19:36:28
130131B	19:10:08
130131A	13:56:22
130122A	23:44:09
130102A	18:10:53
121229A	05:00:21
121226A	19:09:43
121217A	07:17:47
121212A	06:56:13
121211A	13:47:02
121209A	21:59:11
121202A	04:20:05
121201A	12:25:42
121128A	05:05:37
121125A	08:32:27
121123A	10:02:41
121117A	08:50:56
121108A	17:47:39
121102A	02:27:02
121031A	22:50:30
121028A	05:04:31
121027A	07:32:29
121024A	02:56:12
121017A	19:23:28
121014A	20:11:56
121011A	11:15:30
121001A	18:23:02
120927A	22:40:46
120923A	05:16:06
120922A	22:30:28
120918A	11:16:10
120913B	23:55:58
120913A	20:18:21
120911A	07:08:33
120909A	01:42:03
120907A	00:24:23
120819A	13:10:14
120817B	04:02:29
120817A	06:49:42
120816A	19:18:34
120815A	02:13:58
120811C	15:34:52
120811A	02:35:18
120807A	07:09:37
120805A	21:28:09
120804A	00:54:14
120803B	11:06:06
120803A	07:22:16
120802A	08:00:51
120729A	10:56:14
120728A	22:25:11
120724A	06:39:02
120722A	12:53:26
120714B	21:18:46.57
120714A	07:46:46
120712A	13:42:27
120711B	03:11:02.58
120703A	17:25:22
120701A	n/a
120630A	n/a
120624B	22:19:51
120612A	02:05:19
120521C	23:22:07
120521B	09:07:48
120521A	05:59:42
120514A	01:12:49
120422A	07:12:03
120404A	12:51:02
120403B	20:33:56
120403A	01:05:23
120401A	05:24:15
120328A	03:06:19
120327A	02:55:16
120326A	01:20:29
120324A	05:59:11
120320A	11:56:15
120312A	16:06:28
120311B	15:08:10
120311A	05:33:38
120308A	06:13:38
120305A	19:37:30
120302A	01:55:39
120229A	14:35:11
120224A	04:39:56
120219A	14:30:08
120218A	00:49:22
120215A	00:41:15
120213A	00:27:19
120212A	09:11:22
120211A	11:58:28
120121A	09:42:19
120119A	04:04:30.21
120118B	17:00:21
120116A	18:06:28
120114A	16:20:09
120106A	14:16:24
120102A	02:15:55
111229A	22:37:52
111228A	15:44:43
111225A	03:50:37
111215A	14:04:08
111212A	09:23:07
111210A	14:37:03
111209A	07:12:08
111208A	08:28:11
111207A	14:16:59
111204A	13:37:28
111201A	14:22:45
111129A	16:18:14
111126A	18:57:42
111123A	18:13:21
111121A	16:26:24
111117A	12:13:41
111109A	02:57:46
111107A	00:50:24
111103B	10:59:03
111103A	10:35:13
111029A	09:44:40
111026A	06:47:29
111022B	17:13:04
111022A	16:07:04
111020A	06:33:49
111018A	17:26:24
111016A	18:37:04
111008A	22:12:58
111005A	08:05:14
110928A	01:51:31
110921A	13:51:20
110915A	13:20:44
110827A	00:01:52
110820A	17:38:27
110818A	20:37:49
110808A	06:18:54
110801A	19:49:42
110731A	11:09:30
110726A	01:30:40
110719A	06:09:11
110715A	13:13:50
110709B	21:32:39
110709A	15:24:29
110625A	21:08:28
110610A	15:21:32
110530A	15:31:02
110521A	15:51:31.4
110520A	20:28:48
110519A	02:12:16
110503A	17:35:45
110422A	15:41:55
110420B	22:42:11
110420A	11:02:24
110414A	07:42:14
110412A	07:33:21
110411A	19:34:11
110407A	14:06:41
110402A	00:12:57
110319B	19:34:02
110319A	02:16:41
110318B	15:27:09
110318A	13:14:19
110315A	23:57:04
110312A	17:55:37
110305A	06:38:01
110223B	21:25:48
110223A	20:56:59
110213A	05:17:29
110212A	01:09:08
110210A	09:52:41
110208A	21:10:46
110207A	11:17:20
110205A	02:02:41
110201A	09:35:08
110128A	01:44:33
110119A	22:20:58
110112A	04:12:18
110107A	21:15:51
110106B	21:26:17
110106A	15:25:16
110102A	18:52:25
101225A	18:37:45
101224A	05:27:13
101219B	16:27:53
101219A	02:31:29
101213A	10:49:23
101204A	23:53:29
101201A	10:01:48
101129A	15:39:31
101117B	19:13:23
101114A	00:32:50
101030A	15:56:29
