gcn_number grb_id T90 T90err
13990 121123A 317 14
13996 121125A 52.2 4.6
14011 121128A 23.3 1.6
14028 121201A 85 21
14037 121202A 20.1 1.9
14052 121209A 42.7 2
14067 121211A 182 39
14068 121212A 6.8 1.3
14096 121217A 778 16
14111 121226A 1 0.2
14123 121229A NA NA
14133 130102A 77.5 18.2
14146 130122A 64 36
14163 130131A 51.6 2.4
14164 130131B 4.3 0.26
14186 130206A 128 50.6
14197 130211A 25.1 6.3
14214 130215A 65.7 10.8
14229 130216A 6.5 1.1
14232 130216B 3.7 0.5
14277 130305A NA NA
14279 130306A NA NA
14296 130313A 0.26 0.09
14315 130315A 233.4 17.5
14343 130327A 9 2.8
14373 130408A 28 13
14392 130418A NA NA
14399 130419A 75.7 49.6
14419 130420A 123.5 13.1
14420 130420B 10.2 5.4
14469 130427B 27 7.3
14470 130427A 162.83 1.36
14550 130502A 3 0.3
14554 130504A 50 10
14589 130505A 88 10
14613 130508A 42 11
14624 130511A 5.43 2.22
14636 130514A 204 13
14658 130515A 0.29 0.06
14693 130521A 11 2.4
14694 130518B NA NA
14708 130527A 44 16
14718 130528A 59.4 3.6
14726 130529A 128 35
14736 130603A 76 19
14741 130603B 0.18 0.02
14779 130604A 37.7 4.6
14787 130605A 12.6 3.1
14819 130606A 276.58 19.31
14850 130608A 151.38 10.84
14834 130609A 7 0.8
14849 130610A 46.4 11.2
14867 130609B 210.6 15.1
14899 130615A 304 30
14916 130612A NA NA
14925 130625A 38.1 4.9
14942 130626A 0.16 0.03
14951 130627A 30.8 12.3
14952 130627B 28.6 5.8
14959 130701A 4.38 0.25
15016 130719A 177.7 20.5
15031 130725A 101.8 20.5
15041 130725B 10 3.6
15049 130727A 13.57 0.81
15063 130803A 44 2
15076 130806A 6.1 0.5
15083 130807A NA NA
15092 130812A 7.6 0.5
15105 130816A 29.97 1.36
15108 130816B 10 3.61
15116 130822A 0.04 0.01
15155 130831A 32.5 2.5
15163 130831B 37.8 10.4
15202 130907A 115.14 0.67
15216 130912A 0.28 0.03
15234 130919A 97.3 25.1
15257 130925A NA NA
15272 130929A 11.1 2.98
15293 131001A 4.9 0.3
15298 131002B 39.1 8.08
15302 131002A 55.59 3.98
15316 131004A 1.54 0.33
15354 131018A 73.22 18.97
15370 131024A 112 36
15383 131024B 64 22
15456 131030A 41.1 4
15457 131103A 17.3 4.8
15459 131105A 112.3 4.1
15487 131110A 100 10
15499 131117A 11 3.16
15508 131120A 131 20
15521 131127A 92.1 10.2
15539 131128A 3 1.41
15569 131202A 30.4 10.9
15584 131205A 37.5 9.6
15613 131226A 7.2 0.16
15620 131227A 18 1.6
15635 131229A 13.86 0.43
15662 140102A 65 15
15664 140103A 17.3 1.9
15718 140108A 94 4
15738 140114A 139.7 16.4
15750 140118A 84.15 10.79
15769 140129A 2.99 0.79
15774 140129B 1.36 0.21
15805 140206A 93.6 13.8
15812 140209A 21.3 8
15820 140211A 89.4 18.7
15836 140213A 60 2.6
15847 140215A 84.2 53.1
15906 140301A 31 5.7
15908 140302A 87.5 11.4
15927 140304A 15.6 1.9
15934 140305A 13.7 1.8
15962 140311A 71.4 9.5
15979 140311B 70 10
15996 140318A 8.43 1.27
16020 140320A 0.45 0.07
16029 140323A 104.9 2.6
16063 140331A 209 33
16073 140402A 0.031 0.003
16090 140408A 4 1.41
16103 140412A 39.6 8.2
16105 140413A 139.6 12.6
16111 140414A 0.7 0.1
16127 140419A 94.7 11
16161 140423A 134 23
16186 140428A 17.42 5.9
16200 140430A 173.6 3.7
16208 140502A 16.9 1.9
16218 140506A 111.1 9.6
16240 140509A 23.2 5.17
16258 140512A 154.8 4.88
16284 140515A 23.4 2.1
16292 140516A 0.19 0.09
16306 140518A 60.5 2.4
16316 140521A 9.88 1.09
16346 140529A 4.5 0.5
